Number of Particles,Performance
1024,0.013878
512000,0.968356
1024000,1.02764
1536000,1.05113
2048000,1.06932
2560000,1.06378
3072000,1.0551
3584000,1.06434
4096000,1.07611
4608000,1.07126
5120000,1.06763
5632000,1.07106
6144000,1.02881
6656000,1.07485
7168000,1.07165
7680000,1.06989
8192000,1.08103
8704000,1.06978
9216000,1.07493
9728000,1.07364
10240000,1.08512
102400,0.626974
204800,0.811061
307200,0.881916
409600,0.929312
512000,0.964061
1048576,1.04926
1048576,0.634957
1048576,3.55449e-20
1048576,2.51975
1048576,0
1048576,0.977303
1048576,0
1048576,0
1048576,0
1048576,0.981599
1048576,1.03161
